FoodID,MeasureID,MeasureDescription,MeasureDescriptionF,ConversionFactorValue
1266,383,125ml,125ml,0.07396
1266,415,250ml,250ml,0.14793
1266,429,300ml,300ml,0.17751
1266,1454,30g,30g,0.30000
1266,1467,15g,15g,0.15000
1267,341,100ml,100ml,0.13102
1267,415,250ml,250ml,0.32756
1267,429,300ml,300ml,0.39306
1267,1454,30g,30g,0.30000
1268,274,1 small box,1 petite bôite,0.27000
1268,341,100ml,100ml,0.13102
1268,415,250ml,250ml,0.32756
1268,1454,30g,30g,0.30000
1269,274,1 small box,1 petite bôite,0.39000
1269,341,100ml,100ml,0.17751
1269,415,250ml,250ml,0.44379
1269,1454,30g,30g,0.30000
1270,341,100ml,100ml,0.15216
1270,415,250ml,250ml,0.3804
1270,429,300ml,300ml,0.45648
1270,1454,30g,30g,0.30000
1271,341,100ml,100ml,0.16906
1271,383,125ml,125ml,0.21133
1271,389,175ml,175ml,0.29586
1271,415,250ml,250ml,0.42265
1271,1454,30g,30g,0.30000
1275,341,100ml,100ml,0.25359
1275,383,125ml,125ml,0.31699
1275,415,250ml,250ml,0.63398
